ProfessorNom,GEI,GEMCD,GEXT,GESA
Abdussalam Alajami,1,1,1,1
Abolfazl Mohammadi Seif,0,1,0,0
Adriano Pastore,1,2,3,2
Adrián Garcia Riber,0,0,0,1
Ahana Deb,2,1,1,1
Alan Tapscott Baltar,1,0,0,0
Albert Domingo Vilar,0,1,1,1
Albert Hernansanz Prats,1,1,0,0
Alejandro Castel de la Torre,1,1,1,0
Alejandro Oller Artigas,0,1,1,1
Alejandro Rodriguez Corrales,1,1,0,1
Alexandre Dominguez Clarimon,1,1,1,1
Alfonso Martínez Vicente,1,1,3,3
Alvaro Jose Bocanegra Perez,1,1,1,1
Anders Jonsson,2,1,1,1
Andrea Pizzo,1,1,1,1
Andreas Kaltenbrunner,0,1,0,0
Andy Luis Olivares Miyares,1,1,1,1
Antoine Jeanjacques Nathan Moulin,2,2,1,1
Antonia Micol Frassino,1,1,1,1
Antonio Lobo Santos,0,1,0,0
Antonio Lunar Mauri,1,0,0,0
Aravindh Raman,1,1,1,1
Ariel Orlando Ortiz Beltran,1,1,1,1
Arnau Blanco Borrego,1,1,1,1
Arnau Colom Pasqual de Riquelme,1,1,0,2
Aureliano Santiago Perez Garzon,1,1,1,1
Aurelio Ruiz Garcia,1,1,1,1
Ayose Iturralde Valencia,2,2,1,1
Bart Bijnens,0,0,0,1
Behzad Haki,1,1,1,1
Berta Benet Cugat,2,2,2,2
Blazej Tadeusz Kotowski,0,0,0,2
Boris Bellalta Jiménez,0,1,3,1
Carla Ràfols Salvador,2,2,2,1
Carles Soler Puig,0,1,1,1
Carlos Bock Montero,0,0,1,0
Carlos Castillo,0,2,0,0
Carlos Eduardo Ruiz Wills,2,2,2,2
Carlos Gasch Malaret,0,1,1,1
Carlos Giraldos Blas,1,1,1,1
Carlos Pacha Vicente,0,1,1,1
Chema Martínez Revellado,0,1,1,1
Chiara Mastrogiuseppe,1,1,1,1
Coloma Maria Ballester Nicolau,0,1,1,1
Costas Michaelides,1,1,1,1
Cristian Daniel Gonzalez,3,2,2,2
Cristina Cano Bastidas,1,1,1,1
Daniel Esono Ferrer,0,1,2,1
Daniel Gómez Marín,1,1,1,1
Daniel Naro,1,1,1,1
Daniel Santos Olivan,1,1,0,0
David Llanos Santos,1,1,2,1
David Núñez Cuadrado,1,1,1,1
Davinia Hernández Leo,1,1,2,1
Diego de Estrada Rustan,1,1,1,0
Dolors Sala Batlle,2,0,1,0
Eider Lumi Perez Ordoyo Bellido,1,1,1,1
Elisabet Duocastella Pla,0,1,1,1
Elvira Garcia Guzman,0,0,0,1
Emily Theophilou,1,0,0,0
Emma Fraxanet Morales,1,2,1,1
Enric Peig Olivé,3,3,3,3
Estefano Matias Muñoz Moya ,1,1,1,1
Eva Casoni Rero,1,1,1,1
Eva Valls Garolera,2,2,1,2
Evarist Perez Pastora,0,1,1,1
Federico Heras Viaga,1,1,1,1
Federico Mateo Sukno,0,1,0,2
Francesc Xavier Serra Casals,1,1,1,3
Francis Kiptengwer Chemorion,1,1,1,1
Francisco Javier Brines Garcia,0,0,0,2
Gabriel Bernardino Pérez,1,1,1,0
Gemma Piella Fenoy,0,1,0,0
Genis Margarit Contel,0,0,1,0
Genís Plaja Roglans,0,0,0,1
Gerard Llorach Tó,1,1,0,1
Gerard Marti Juan,1,1,1,1
Gergely Neu,0,1,1,0
Giovanni Geraci,0,0,1,1
Giuseppe Cocco,1,1,2,2
Gloria Haro Ortega,1,1,1,2
Guillem Casacuberta Postils,1,1,1,1
Guillermo Javier Zeller Sancho,3,1,1,1
Gustavo Ricardo Deco,0,0,0,1
Hadrien Calmet,1,1,1,1
Horacio Saggion,2,1,1,1
Ignacio Celis,1,1,1,1
